tradeid|currency|measure|amount|productid
78|USD|DELTA|-6535,40|154
83|KOR|DELTA|17359,55|101
89|KOR|CURVATURE|-58,35|358
40|GBP|DELTA|-4190,71|852
54|CHF|DELTA|16805,27|84
20|USD|CURVATURE|5463,04|265
7|CHF|CURVATURE|-5111,06|766
2|JPY|DELTA|15572,98|646
65|JPY|DELTA|-5962,88|769
64|USD|DELTA|-5210,16|295
13|CAD|DELTA|15405,94|964
80|GBP|DELTA|-4077,29|597
49|EUR|DELTA|10370,49|217
67|EUR|DELTA|6257,40|22
31|JPY|DELTA|-4473,67|411
74|CHF|CURVATURE|5123,65|286
92|USD|DELTA|-572,87|384
64|KOR|DELTA|1761,36|543
5|ZAR|CURVATURE|9562,79|56
22|ZAR|DELTA|9756,62|417
30|GBP|CURVATURE|-8957,68|697
98|CHF|DELTA|8645,40|223
93|CHF|DELTA|-6515,01|848
95|KOR|CURVATURE|15310,96|90
45|EUR|DELTA|7817,69|941
23|CHF|DELTA|18962,81|704
9|CHF|CURVATURE|-8302,61|278
49|EUR|DELTA|17562,63|492
97|CAD|DELTA|3886,62|21
93|USD|CURVATURE|4176,51|698
69|KOR|DELTA|15466,66|441
66|KOR|DELTA|19852,00|677
41|EUR|DELTA|16726,79|405
31|CAD|CURVATURE|-8948,46|699
72|CAD|DELTA|13965,19|180
73|KOR|CURVATURE|12576,95|810
89|JPY|CURVATURE|12414,99|45
75|KOR|DELTA|9289,05|83
78|KOR|DELTA|10801,38|960
71|KOR|DELTA|-2894,46|345
20|EUR|CURVATURE|-3532,45|128
9|JPY|CURVATURE|-4066,68|191
61|ZAR|DELTA|7999,49|519
69|CHF|DELTA|-3111,26|143
83|USD|DELTA|-3654,80|366
32|KOR|DELTA|5752,96|144
74|CHF|CURVATURE|5670,72|748
58|JPY|DELTA|13817,30|446
8|CHF|DELTA|7824,05|391
35|CHF|DELTA|10655,29|80
93|KOR|DELTA|-915,67|954
71|KOR|DELTA|-2181,86|956
10|CHF|CURVATURE|15745,26|454
70|ZAR|DELTA|14737,48|469
42|CHF|CURVATURE|15501,79|388
25|JPY|CURVATURE|12324,10|13
84|KOR|DELTA|-9846,23|848
91|USD|DELTA|4810,50|935
99|KOR|DELTA|978,60|919
25|CAD|DELTA|-2422,64|971
98|JPY|DELTA|11522,02|392
65|GBP|DELTA|19152,17|749
15|ZAR|DELTA|12368,01|800
30|JPY|CURVATURE|7740,21|492
79|CHF|DELTA|13627,73|842
90|USD|DELTA|19852,44|776
56|ZAR|DELTA|11977,37|742
52|CHF|DELTA|6488,26|329
14|ZAR|CURVATURE|19715,39|342
95|GBP|DELTA|-3590,37|209
68|CHF|DELTA|11732,43|948
81|JPY|DELTA|-850,39|644
54|CHF|DELTA|-3181,03|859
91|JPY|CURVATURE|-9781,89|831
69|GBP|DELTA|296,32|290
53|GBP|CURVATURE|7529,98|567
44|CAD|DELTA|14559,04|105
74|CHF|DELTA|1258,45|928
84|CHF|DELTA|-9630,24|573
73|JPY|CURVATURE|16327,23|957
73|CAD|DELTA|-1649,36|596
41|JPY|DELTA|-342,06|186
89|GBP|DELTA|14365,25|709
65|USD|DELTA|17489,84|860
40|JPY|CURVATURE|12768,46|376
27|EUR|DELTA|5834,76|96
72|EUR|DELTA|14802,86|637
47|JPY|DELTA|11012,95|148
56|ZAR|DELTA|8814,35|376
69|EUR|DELTA|-6328,89|446
76|EUR|CURVATURE|-8883,45|59
57|JPY|DELTA|7491,17|243
46|GBP|DELTA|-982,61|573
62|CHF|DELTA|-8419,11|436
92|CHF|DELTA|7089,65|396
36|CAD|DELTA|-738,40|587
58|ZAR|DELTA|6669,93|906
38|CAD|DELTA|16444,62|831
61|CHF|DELTA|12854,61|867
8|CHF|CURVATURE|3171,33|758
52|CHF|DELTA|-9936,38|337
43|CHF|DELTA|15179,47|372
27|USD|DELTA|-7703,43|284
95|GBP|DELTA|-1107,59|726
42|USD|DELTA|-662,61|622
37|GBP|DELTA|8194,56|323
77|GBP|CURVATURE|792,17|947
23|ZAR|DELTA|2283,54|750
45|JPY|DELTA|-7515,11|77
62|JPY|DELTA|8151,53|644
79|EUR|DELTA|-505,83|36
24|CAD|DELTA|3561,44|869
16|JPY|DELTA|18192,10|85
50|ZAR|DELTA|6308,12|778
35|USD|DELTA|839,32|991
77|USD|DELTA|14995,74|746
71|JPY|DELTA|6486,08|170
64|EUR|DELTA|7266,94|443
19|ZAR|DELTA|-4388,82|707
50|CAD|DELTA|2480,35|850
64|USD|DELTA|13674,17|198
48|ZAR|CURVATURE|11184,60|140
81|GBP|DELTA|4731,46|761
82|GBP|CURVATURE|-339,93|650
16|KOR|DELTA|-4261,61|682
80|KOR|CURVATURE|-9584,32|305
82|EUR|DELTA|-1017,34|549
19|USD|CURVATURE|2304,98|471
96|ZAR|DELTA|-5777,26|210
85|GBP|DELTA|15174,02|151
66|JPY|DELTA|-2918,29|923
19|GBP|DELTA|14326,45|193
57|JPY|DELTA|-9288,30|720
59|ZAR|DELTA|88,34|299
1|JPY|DELTA|16928,36|874
10|CHF|CURVATURE|15217,13|768
76|USD|DELTA|10246,47|753
2|JPY|DELTA|10511,69|207
94|GBP|CURVATURE|-3555,83|822
90|ZAR|DELTA|11773,46|848
74|GBP|DELTA|-9539,26|775
22|CAD|DELTA|14114,38|275
26|CAD|DELTA|-802,88|378
71|GBP|DELTA|14723,06|445
24|USD|DELTA|11840,88|404
50|ZAR|CURVATURE|9647,14|246
60|KOR|DELTA|15973,52|751
85|USD|DELTA|3330,27|673
93|GBP|CURVATURE|-4673,66|677
58|GBP|DELTA|-9193,59|177
70|ZAR|DELTA|6613,40|564
57|GBP|DELTA|18192,10|51
96|USD|DELTA|6463,53|493
20|JPY|DELTA|-1134,02|819
63|USD|DELTA|-3232,71|519
45|USD|DELTA|4262,77|786
14|JPY|DELTA|512,44|23
55|CAD|CURVATURE|13159,15|721
68|EUR|DELTA|-8238,39|207
95|GBP|DELTA|12658,77|735
86|GBP|DELTA|-9721,85|177
8|ZAR|CURVATURE|-6397,00|741
69|USD|DELTA|14476,48|362
86|JPY|CURVATURE|-9002,41|424
40|KOR|DELTA|-2000,11|188
24|ZAR|CURVATURE|14251,29|929
49|GBP|DELTA|6044,52|39
18|CAD|DELTA|17911,92|669
96|ZAR|DELTA|4378,42|981
58|ZAR|DELTA|11344,94|952
74|KOR|DELTA|17270,51|497
20|ZAR|DELTA|17957,21|800
23|CAD|DELTA|11758,03|283
55|ZAR|DELTA|13498,86|297
62|USD|DELTA|4951,37|66
44|CHF|DELTA|18394,30|456
80|ZAR|DELTA|14602,51|332
89|USD|CURVATURE|-4478,46|507
56|KOR|CURVATURE|10742,62|883
63|KOR|DELTA|19279,81|218
78|CHF|CURVATURE|18714,91|680
35|GBP|DELTA|908,46|627
92|EUR|DELTA|-9128,15|213
99|CAD|DELTA|12935,95|113
57|JPY|DELTA|11149,21|779
69|CAD|DELTA|1283,07|809
52|KOR|DELTA|-7158,65|969
45|JPY|DELTA|-1802,87|132
32|KOR|DELTA|5447,11|953
86|KOR|DELTA|-6021,22|782
78|CAD|DELTA|10291,69|197
90|USD|CURVATURE|18844,96|467
42|USD|DELTA|11706,71|942
95|GBP|DELTA|1562,97|512
82|GBP|DELTA|-585,69|498
40|USD|DELTA|-5656,10|142
23|CAD|CURVATURE|-1949,92|368
31|ZAR|DELTA|19398,91|881
87|GBP|DELTA|9706,05|831
86|CAD|DELTA|-5621,11|35
43|CAD|DELTA|19304,78|382
9|ZAR|DELTA|-676,09|709
5|CHF|DELTA|-1549,99|659
91|KOR|DELTA|6772,18|99
47|JPY|DELTA|150,06|262
71|CAD|CURVATURE|19191,84|713
43|USD|DELTA|12086,35|166
78|USD|DELTA|11120,42|724
26|ZAR|DELTA|-6398,51|896
46|JPY|DELTA|-614,18|324
79|CHF|DELTA|8603,83|138
4|ZAR|DELTA|-2055,85|794
39|KOR|DELTA|-8481,76|950
60|CHF|DELTA|18451,53|383
88|JPY|DELTA|3236,71|149
10|EUR|DELTA|-4719,41|940
43|EUR|CURVATURE|-8184,72|991
96|KOR|DELTA|734,18|830
73|USD|DELTA|15093,87|872
12|EUR|DELTA|-8523,32|937
12|USD|DELTA|-2751,53|999
86|GBP|DELTA|-677,89|464
38|CHF|CURVATURE|4875,85|733
91|CHF|DELTA|14453,10|923
75|CAD|DELTA|13013,35|498
33|GBP|DELTA|-2292,80|714
38|USD|DELTA|13552,83|556
66|CAD|CURVATURE|13911,17|382
11|CAD|DELTA|4959,13|1
96|KOR|DELTA|13367,57|172
48|ZAR|CURVATURE|8780,35|609
68|GBP|CURVATURE|-6156,94|407
39|JPY|DELTA|16967,34|585
16|GBP|DELTA|15960,10|299
30|JPY|DELTA|9921,72|197
84|KOR|DELTA|-1717,85|792
50|JPY|DELTA|-5019,74|192
51|KOR|CURVATURE|-8019,62|325
14|EUR|DELTA|-6174,72|976
81|USD|CURVATURE|3493,75|921
44|CHF|DELTA|-3712,85|648
13|USD|DELTA|6605,19|855
75|EUR|CURVATURE|-8028,65|280
53|JPY|DELTA|14757,96|236
25|GBP|CURVATURE|-4013,10|550
59|USD|DELTA|11977,45|127
72|EUR|DELTA|15258,13|42
40|EUR|CURVATURE|15534,64|335
31|CHF|DELTA|18043,95|819
67|CAD|CURVATURE|-574,09|120
76|ZAR|DELTA|15537,63|333
4|CHF|DELTA|1127,07|371
43|ZAR|DELTA|-3960,54|216
51|ZAR|DELTA|11032,01|27
62|CHF|DELTA|3041,88|168
21|ZAR|DELTA|17974,28|449
96|CHF|DELTA|8593,25|83
2|KOR|DELTA|-6436,49|621
30|JPY|DELTA|16056,52|945
67|CAD|DELTA|3403,32|229
1|JPY|DELTA|-3507,80|360
93|JPY|DELTA|-4910,38|176
76|CHF|DELTA|-6396,70|844
31|EUR|DELTA|-938,62|745
94|KOR|DELTA|-7191,02|236
62|EUR|CURVATURE|1574,61|466
93|USD|DELTA|13484,56|549
89|JPY|DELTA|-5676,23|758
89|GBP|DELTA|-6269,34|857
37|USD|DELTA|17416,95|263
9|CAD|DELTA|-3177,71|906
18|CHF|DELTA|13737,65|607
74|USD|CURVATURE|6439,49|181
16|JPY|CURVATURE|10258,28|474
27|EUR|DELTA|6191,03|501
84|CAD|CURVATURE|-4987,70|615
35|GBP|DELTA|11199,01|386
62|CAD|CURVATURE|-3568,33|732
73|JPY|DELTA|-2401,74|684
14|CHF|DELTA|11205,61|599
96|EUR|DELTA|17796,47|291
76|USD|DELTA|19150,83|803
90|CHF|DELTA|-3092,42|274
30|CAD|DELTA|2582,58|894
87|JPY|DELTA|11678,23|805
68|EUR|DELTA|16961,90|666
60|EUR|DELTA|-1170,50|1
41|USD|DELTA|10135,11|643
34|CHF|CURVATURE|-7512,30|835
9|USD|CURVATURE|-4912,97|466
75|CHF|DELTA|1321,25|804
32|EUR|DELTA|13953,91|765
3|CAD|CURVATURE|7276,15|935
1|USD|CURVATURE|-2916,35|848
46|KOR|DELTA|-9858,61|197
16|ZAR|DELTA|15531,69|162
37|JPY|DELTA|2404,53|700
34|ZAR|DELTA|8725,92|374
7|CAD|DELTA|17396,90|305
45|GBP|DELTA|-6346,92|209
12|CAD|CURVATURE|2090,15|94
39|USD|DELTA|10184,72|767
71|USD|DELTA|4199,50|609
26|EUR|DELTA|8790,48|525
47|EUR|DELTA|17675,06|897
56|GBP|DELTA|16439,89|819
34|EUR|DELTA|1014,98|82
85|CAD|CURVATURE|876,06|324
56|CAD|DELTA|10003,52|11
71|USD|CURVATURE|9403,49|600
67|EUR|DELTA|9943,46|184
87|CHF|DELTA|19958,92|396
58|GBP|DELTA|17793,98|599
55|KOR|DELTA|18465,24|518
9|EUR|CURVATURE|-8989,56|160
95|CAD|DELTA|8582,61|910
16|USD|CURVATURE|7576,53|979
34|GBP|DELTA|19090,99|423
72|JPY|DELTA|-422,46|132
78|CHF|DELTA|-1268,27|781
83|KOR|DELTA|15639,97|682
38|KOR|DELTA|11712,92|623
6|ZAR|DELTA|-5801,03|781
50|KOR|DELTA|4897,57|271
94|CAD|DELTA|19492,91|354
90|JPY|DELTA|5444,72|186
97|CHF|DELTA|3653,85|827
20|CAD|DELTA|18201,70|896
68|GBP|DELTA|15591,63|23
33|USD|DELTA|3137,59|351
44|KOR|DELTA|-1523,79|49
95|KOR|DELTA|14591,95|454
12|JPY|DELTA|1522,89|768
77|KOR|CURVATURE|-4037,25|214
6|USD|DELTA|16084,18|357
58|CAD|DELTA|2889,63|149
45|CHF|DELTA|-5547,20|39
69|USD|DELTA|-2936,29|110
10|GBP|DELTA|9576,12|298
75|JPY|CURVATURE|15917,51|394
26|JPY|DELTA|3463,63|673
54|USD|DELTA|4866,29|252
27|GBP|DELTA|-1583,66|399
50|CHF|DELTA|10076,84|852
43|EUR|DELTA|1398,33|195
82|CHF|DELTA|-2633,10|283
90|CAD|CURVATURE|14574,31|974
80|KOR|CURVATURE|5568,14|644
89|GBP|DELTA|-7981,97|74
8|ZAR|CURVATURE|19139,49|327
31|CHF|DELTA|-9789,04|364
74|KOR|DELTA|963,75|482
87|CAD|DELTA|651,15|490
27|ZAR|DELTA|12909,10|46
74|KOR|CURVATURE|-7277,71|76
34|ZAR|DELTA|-7958,44|673
99|JPY|DELTA|11072,77|562
30|JPY|CURVATURE|7334,61|943
6|CHF|DELTA|-145,29|970
6|KOR|DELTA|-4321,98|553
40|KOR|DELTA|18101,59|139
6|CHF|DELTA|2126,01|887
61|KOR|DELTA|11698,63|465
78|JPY|CURVATURE|5174,59|920
13|ZAR|DELTA|14336,67|25
44|CHF|DELTA|10791,23|392
41|JPY|CURVATURE|17645,80|674
41|JPY|DELTA|13655,47|472
91|JPY|CURVATURE|-9420,08|944
23|USD|DELTA|165,10|704
9|EUR|DELTA|4862,88|591
48|CHF|DELTA|7125,73|75
28|USD|CURVATURE|2800,12|620
59|CAD|CURVATURE|-5582,22|170
4|CAD|DELTA|-9512,11|639
44|GBP|DELTA|18417,52|920
82|CHF|DELTA|13992,99|109
38|CHF|DELTA|19472,76|622
1|EUR|DELTA|2598,26|436
34|USD|DELTA|17578,23|285
48|KOR|DELTA|-3023,28|911
84|GBP|CURVATURE|11683,89|807
41|EUR|DELTA|-4971,96|163
61|CAD|DELTA|3268,29|627
27|EUR|DELTA|14036,01|458
75|USD|DELTA|12229,01|949
99|CHF|DELTA|8329,06|719
76|USD|CURVATURE|-6562,84|251
86|JPY|DELTA|11387,83|248
14|KOR|DELTA|15972,01|602
71|EUR|DELTA|13574,94|745
31|JPY|DELTA|1935,07|582
64|JPY|DELTA|690,24|326
7|USD|DELTA|10528,13|886
43|CAD|CURVATURE|7298,58|679
36|CHF|DELTA|794,02|406
77|EUR|DELTA|-3748,74|771
87|CAD|DELTA|7936,74|33
38|JPY|CURVATURE|14633,19|217
65|CHF|DELTA|-4324,67|56
58|CHF|DELTA|5217,73|582
27|EUR|DELTA|-2296,26|907
79|USD|DELTA|3693,71|970
41|GBP|CURVATURE|-5567,87|657
1|CAD|DELTA|18834,71|650
66|GBP|DELTA|16020,22|885
28|USD|DELTA|-2610,40|603
8|ZAR|DELTA|-4126,06|978
25|GBP|DELTA|5863,89|543
71|USD|CURVATURE|1696,70|939
59|USD|DELTA|19201,99|479
99|CHF|DELTA|-2353,51|370
35|USD|DELTA|4435,22|420
93|GBP|DELTA|14772,15|346
96|CHF|DELTA|-3012,58|657
68|USD|DELTA|18653,92|529
50|EUR|DELTA|5978,88|761
63|CAD|DELTA|8864,30|745
26|USD|DELTA|-6412,98|115
29|EUR|DELTA|12651,26|576
99|ZAR|DELTA|14445,28|520
21|KOR|CURVATURE|13122,81|582
39|CAD|DELTA|-5075,43|229
5|CAD|DELTA|5524,14|6
40|EUR|DELTA|15768,81|917
80|KOR|CURVATURE|-5870,80|156
66|ZAR|CURVATURE|15368,40|863
49|GBP|CURVATURE|19348,57|598
39|EUR|DELTA|6466,75|419
25|USD|DELTA|12257,45|590
5|JPY|DELTA|16411,62|901
99|USD|DELTA|-8412,50|322
8|JPY|DELTA|-3612,46|312
75|USD|DELTA|10866,46|35
33|USD|DELTA|-1808,21|677
23|CAD|DELTA|7731,91|550
78|GBP|DELTA|8933,42|915
49|CHF|DELTA|-9759,34|325
40|GBP|CURVATURE|14025,54|573
44|USD|DELTA|-9667,08|690
84|CAD|DELTA|12580,27|701
1|ZAR|DELTA|-8572,72|135
26|JPY|DELTA|-4024,63|975
60|GBP|DELTA|-3302,42|426
41|CAD|DELTA|203,21|492
26|JPY|DELTA|18038,97|376
9|CAD|DELTA|14495,26|895
41|CAD|DELTA|1534,64|352
21|EUR|DELTA|7589,51|452
16|GBP|DELTA|-3302,37|227
10|JPY|DELTA|17418,40|821
9|EUR|DELTA|-462,25|725
7|GBP|CURVATURE|19580,81|833
92|GBP|DELTA|19090,28|710
34|GBP|DELTA|-7045,23|767
77|KOR|DELTA|16282,32|405
11|JPY|DELTA|1534,77|257
71|GBP|DELTA|10590,49|157
1|EUR|CURVATURE|7957,94|82
97|GBP|DELTA|-6111,63|834
63|KOR|CURVATURE|-4768,05|872
83|KOR|DELTA|12068,37|267
48|EUR|DELTA|-3500,10|286
33|ZAR|DELTA|-9334,77|94
47|CAD|DELTA|-8023,51|910
12|ZAR|DELTA|2869,90|716
50|CHF|DELTA|14759,55|100
14|KOR|DELTA|-8594,46|606
58|CHF|DELTA|11449,95|968
70|EUR|DELTA|3991,17|397
43|ZAR|CURVATURE|-3615,48|855
23|CAD|DELTA|7134,08|112
3|CAD|DELTA|12875,54|871
30|USD|DELTA|1205,42|481
8|USD|DELTA|17828,12|704
15|CHF|CURVATURE|9943,70|854
73|ZAR|DELTA|5235,71|102
84|JPY|DELTA|-1679,00|437
70|USD|DELTA|5692,33|353
97|USD|DELTA|10063,92|780
89|GBP|DELTA|5658,90|598
68|KOR|DELTA|10855,32|4
36|KOR|DELTA|-2175,48|593
24|GBP|DELTA|-1490,94|720
80|JPY|CURVATURE|19651,95|168
44|CAD|DELTA|-9794,65|937
32|GBP|DELTA|16819,99|549
38|KOR|DELTA|9541,52|150
42|JPY|DELTA|3602,70|907
58|ZAR|DELTA|17877,04|3
23|CAD|CURVATURE|8674,16|387
49|EUR|DELTA|12761,79|116
28|KOR|DELTA|18912,72|766
59|CHF|CURVATURE|8506,59|294
43|CHF|DELTA|10607,52|198
30|USD|DELTA|4900,68|393
20|GBP|DELTA|-1756,59|839
21|USD|DELTA|19263,29|460
5|EUR|DELTA|553,33|925
25|KOR|DELTA|16340,28|694
86|EUR|CURVATURE|17668,99|72
1|ZAR|DELTA|1769,09|831
81|KOR|CURVATURE|-3547,86|473
90|JPY|DELTA|-2971,15|47
46|EUR|DELTA|4028,15|756
1|GBP|CURVATURE|902,22|744
88|JPY|DELTA|16339,37|582
75|CHF|DELTA|10781,05|71
57|USD|DELTA|-5548,51|669
55|EUR|DELTA|2772,07|582
40|ZAR|DELTA|-9758,87|681
1|EUR|DELTA|15968,62|935
95|EUR|DELTA|4915,16|683
81|CAD|DELTA|1760,18|184
53|USD|CURVATURE|12110,39|659
30|KOR|DELTA|4307,64|234
95|ZAR|DELTA|-3268,56|453
87|ZAR|DELTA|-6183,18|299
46|USD|DELTA|-5559,98|421
56|JPY|CURVATURE|7837,43|878
28|KOR|DELTA|14135,14|113
11|JPY|DELTA|-9814,59|706
64|ZAR|CURVATURE|-219,24|175
63|KOR|DELTA|-2738,01|368
31|EUR|DELTA|12560,33|957
3|ZAR|DELTA|12396,53|457
32|ZAR|DELTA|-7828,23|617
28|CHF|DELTA|2588,92|486
18|JPY|DELTA|5824,68|767
42|ZAR|DELTA|5731,15|460
12|USD|DELTA|17457,99|564
27|EUR|DELTA|19451,63|526
77|KOR|DELTA|1249,66|742
61|KOR|DELTA|-5602,75|276
45|JPY|DELTA|4622,94|111
24|KOR|DELTA|1639,42|651
21|CAD|DELTA|-5257,53|64
60|EUR|DELTA|7396,60|556
87|CAD|DELTA|10607,28|131
87|EUR|DELTA|-7813,67|890
51|ZAR|DELTA|3051,44|675
8|GBP|DELTA|-521,54|27
48|CAD|DELTA|-1387,04|719
64|CHF|CURVATURE|-8116,99|548
89|CAD|DELTA|7779,42|254
60|GBP|DELTA|16684,14|313
40|GBP|DELTA|14609,36|269
11|CHF|DELTA|5277,42|538
61|GBP|DELTA|15300,56|246
95|CAD|DELTA|781,61|137
49|JPY|DELTA|8662,18|951
32|USD|CURVATURE|-9881,50|232
23|EUR|DELTA|-1526,53|498
77|KOR|DELTA|11371,35|672
77|CHF|DELTA|16797,78|775
37|CAD|DELTA|16773,33|954
28|ZAR|CURVATURE|19979,84|266
36|ZAR|DELTA|18615,11|876
46|CAD|DELTA|5394,77|803
49|USD|DELTA|-588,09|172
13|CHF|DELTA|3240,11|337
9|JPY|DELTA|-6603,94|658
8|ZAR|DELTA|-6438,50|796
41|KOR|CURVATURE|704,82|733
46|CAD|DELTA|15168,77|558
95|JPY|DELTA|5264,19|633
97|CAD|DELTA|9612,51|305
95|EUR|DELTA|6417,78|296
16|USD|CURVATURE|5529,59|329
58|EUR|CURVATURE|1753,10|34
41|USD|DELTA|-4401,33|204
83|GBP|DELTA|15613,23|168
93|ZAR|CURVATURE|336,87|520
24|USD|DELTA|5574,08|54
40|JPY|CURVATURE|-1124,90|743
76|CHF|DELTA|6182,76|374
82|CHF|CURVATURE|1621,64|808
9|JPY|CURVATURE|-1198,90|554
89|CAD|CURVATURE|11907,67|468
80|GBP|DELTA|4135,31|702
68|USD|DELTA|-7057,47|658
78|GBP|CURVATURE|15454,96|561
9|EUR|DELTA|923,33|754
83|USD|DELTA|18454,96|833
95|KOR|DELTA|19268,74|35
92|EUR|DELTA|15877,61|451
32|KOR|DELTA|10601,22|310
55|CHF|CURVATURE|11417,94|444
87|CAD|DELTA|11298,43|457
84|CAD|DELTA|17957,06|36
53|GBP|DELTA|-4219,31|678
34|CAD|DELTA|7022,51|331
23|CHF|DELTA|-2101,22|193
18|GBP|DELTA|-8378,65|49
45|JPY|DELTA|-7870,45|694
57|EUR|DELTA|17636,32|190
79|CAD|DELTA|-3835,73|208
56|ZAR|CURVATURE|-5935,56|650
29|KOR|DELTA|5869,56|883
71|EUR|DELTA|11104,63|666
74|GBP|CURVATURE|16588,23|10
71|KOR|DELTA|3899,61|656
7|EUR|DELTA|17998,60|960
52|CAD|DELTA|-2611,10|684
78|ZAR|DELTA|11027,92|648
41|CHF|CURVATURE|12855,78|165
25|KOR|DELTA|10977,85|975
49|EUR|DELTA|-4681,12|865
19|JPY|DELTA|13516,48|949
12|ZAR|DELTA|13739,54|126
22|GBP|DELTA|5569,11|143
14|JPY|DELTA|16242,68|49
71|USD|DELTA|18535,86|531
88|KOR|DELTA|3180,72|169
59|ZAR|DELTA|-7587,92|50
52|EUR|DELTA|12247,77|521
7|JPY|DELTA|8112,54|245
11|JPY|DELTA|17161,64|730
34|JPY|DELTA|17022,61|781
83|EUR|DELTA|2202,13|614
72|EUR|DELTA|8033,80|488
45|KOR|DELTA|16500,12|59
31|USD|DELTA|-1827,23|450
11|EUR|DELTA|19128,41|716
94|GBP|DELTA|14604,91|243
16|JPY|DELTA|8313,90|245
25|USD|DELTA|8080,17|779
74|GBP|DELTA|7375,28|588
23|JPY|DELTA|-3321,45|792
30|EUR|DELTA|-1961,29|762
35|EUR|DELTA|8488,07|666
26|USD|DELTA|17688,43|122
78|ZAR|DELTA|13185,59|809
47|JPY|DELTA|4805,06|383
1|GBP|DELTA|19560,01|88
37|GBP|DELTA|12610,44|283
44|USD|DELTA|4081,92|900
34|GBP|DELTA|10898,49|489
69|KOR|DELTA|18541,67|334
98|JPY|DELTA|-6348,23|89
78|JPY|DELTA|-7500,83|774
32|GBP|DELTA|3635,36|984
27|CAD|DELTA|2359,62|301
1|KOR|DELTA|15376,86|847
86|GBP|CURVATURE|17947,66|863
55|ZAR|CURVATURE|5281,53|7
84|ZAR|DELTA|12730,82|487
36|CHF|DELTA|9937,62|827
19|CHF|DELTA|-5332,12|661
63|ZAR|CURVATURE|13623,30|584
70|ZAR|DELTA|3948,66|429
74|EUR|DELTA|8662,90|722
53|CAD|DELTA|5662,48|992
68|GBP|CURVATURE|2470,27|239
61|KOR|DELTA|-7709,53|501
83|EUR|DELTA|5076,18|998
19|GBP|DELTA|11563,69|185
16|ZAR|DELTA|17726,80|281
41|EUR|DELTA|11958,35|431
68|CHF|DELTA|6165,06|265
94|CHF|CURVATURE|4301,83|379
77|CHF|DELTA|10714,13|184
24|JPY|DELTA|15619,39|399
94|ZAR|DELTA|-4135,64|301
75|USD|DELTA|8538,19|265
74|GBP|DELTA|-3842,79|30
47|ZAR|DELTA|17953,29|276
60|GBP|DELTA|6541,39|262
97|CHF|DELTA|-988,29|140
9|JPY|DELTA|17670,54|430
6|KOR|CURVATURE|8144,30|445
44|USD|DELTA|10785,14|892
94|CHF|DELTA|-678,65|523
44|GBP|DELTA|-1315,43|760
24|ZAR|DELTA|1971,86|611
26|USD|DELTA|7002,60|270
18|ZAR|DELTA|-2772,92|490
38|KOR|DELTA|-8450,93|788
44|GBP|DELTA|6057,87|209
47|ZAR|DELTA|18213,91|713
22|GBP|DELTA|13300,03|533
47|USD|CURVATURE|-7967,35|971
76|KOR|DELTA|-4079,11|325
7|EUR|DELTA|4014,44|13
37|USD|CURVATURE|-6311,79|24
71|JPY|DELTA|10606,96|817
57|USD|DELTA|5766,58|513
43|JPY|DELTA|935,20|61
64|KOR|DELTA|13887,20|277
39|CHF|CURVATURE|-4237,86|678
56|KOR|DELTA|1410,60|553
82|CAD|DELTA|16384,68|275
27|ZAR|DELTA|8715,50|800
3|JPY|DELTA|18144,51|246
37|EUR|DELTA|8384,35|948
37|ZAR|DELTA|5993,27|981
15|GBP|DELTA|14192,75|578
83|KOR|DELTA|7540,33|883
65|EUR|DELTA|-4884,07|939
69|EUR|CURVATURE|-6491,80|6
61|GBP|DELTA|-295,97|106
29|CHF|DELTA|-2351,16|571
62|ZAR|DELTA|16107,86|890
32|USD|DELTA|6400,05|329
12|EUR|DELTA|13706,96|475
81|CAD|DELTA|6196,00|942
47|USD|DELTA|-7750,11|188
71|USD|DELTA|19043,56|587
16|EUR|DELTA|-6701,38|4
11|GBP|CURVATURE|-9765,65|362
6|GBP|DELTA|14809,58|170
94|EUR|DELTA|18723,74|547
91|CHF|CURVATURE|17207,37|785
32|GBP|DELTA|-1542,35|480
32|JPY|DELTA|-3764,85|220
43|EUR|DELTA|-2205,40|485
29|CHF|DELTA|13210,34|41
79|JPY|CURVATURE|14028,38|12
7|KOR|CURVATURE|14684,31|845
8|JPY|DELTA|-1918,32|540
39|CAD|CURVATURE|14600,19|353
77|USD|DELTA|-7226,30|750
10|CAD|DELTA|159,63|480
46|GBP|CURVATURE|1070,33|719
29|CAD|CURVATURE|16135,49|706
47|EUR|CURVATURE|12650,57|989
13|GBP|DELTA|18285,33|749
36|JPY|CURVATURE|-439,26|183
19|CAD|DELTA|17907,05|700
65|CHF|DELTA|1112,98|582
74|CAD|DELTA|3102,10|194
15|USD|DELTA|-6703,27|876
43|EUR|DELTA|-4262,11|535
68|KOR|CURVATURE|-2565,86|833
29|GBP|DELTA|2785,94|718
94|CAD|DELTA|-7411,16|321
50|JPY|DELTA|19108,08|90
17|GBP|DELTA|-2855,92|310
66|CHF|CURVATURE|11913,70|627
49|JPY|CURVATURE|10153,82|621
46|GBP|DELTA|2155,48|938
61|EUR|DELTA|15537,83|422
19|CAD|DELTA|10802,43|702
89|ZAR|DELTA|12280,87|339
70|GBP|DELTA|10052,27|229
91|ZAR|CURVATURE|6691,89|327
78|USD|DELTA|6541,33|647
17|CAD|CURVATURE|6011,37|900
11|USD|DELTA|11992,12|147
81|KOR|DELTA|3596,66|292
45|CAD|DELTA|1614,43|172
